order_date,order_uid,Amount_due_EUR,Coupon_Code,Coupon_Type,Discount_Amount_EUR,Delivery_Fee_EUR,VAT_EUR,Warehouse_Id,Customer_Uid,name,phone,Address_Name,City,Country,First_Order
2021-12-22T11:35:48Z,JAsgnkdlnbsklJDKGhnkgnrhaKGHl_890,25,,,,1.8,1.93,wrsghehfweghsjdgksehfhueaef,ietgilJFHGWAWLRIBVAEH,James A,4915158773865,Kronprinzenstraße 200,Düsseldorf,Germany,FALSE
2021-09-11T11:57:07Z,JSFhbkbgKHSklgnkNGKAo;dj_568,53.8,STREET40,DISCOUNT,1.8,1.8,3.82,ggjqfbaskfnbjajdfoawjfnbjawlf,powihfgawofiugehhfg,Rory B,491794468155,Anemonenweg 13245,Hamburg,Germany,FALSE
2021-06-05T13:18:11Z,JSHFKEHGKKMljkdjnhijn;lJBIH_08965,17.5,PACE10,CASHBACK,6,1.8,2.07,kasfhbyasgfaksfhghaklwfgbwk,ruhgwioiapsfjghiwjfjl,Jeremy R,4917673205989,Hans-Henny-Jahnn-Weg 23456,Hamburg,Germany,FALSE
2021-07-24T17:28:04Z,KHEGjkgknkbnklNgbknknHGKbn_157,27.2,,,,1.8,1.88,wrsghehfweghsjdgksehfhueaef,ietgilJFHGWAWLRIBVAEH,James A,4915158773865,Kronprinzenstraße 200,Düsseldorf,Germany,FALSE
2022-05-30T15:27:32Z,JSFBNEGNKgnklfNKBNHRKNl;lhmrk_015,26.5,,,,1.8,2.64,wrsghehfweghsjdgksehfhueaef,ietgilJFHGWAWLRIBVAEH,James A,4915158773865,Kronprinzenstraße 200,Düsseldorf,Germany,FALSE
2022-01-07T17:30:38Z,KDGnkhnblsaM:GHnbln_751,28.2,TREATS20,DISCOUNT,1.8,1.8,1.34,JHGFAAjdghjKLGHIdbgjs23eanf,wpoifujaljfhgalowigphja;wj,Patrick B,491733613510,Linprunstraße 412455,Munich,Germany,FALSE
2021-05-27T19:14:21Z,AJwfbgnjehJGKNHKN;;jhk_387,26.5,,,,1.8,4.23,kasfhbyasgfaksfhghaklwfgbwk,ruhgwioiapsfjghiwjfjl,Jeremy R,4917673205989,Hans-Henny-Jahnn-Weg 23456,Hamburg,Germany,FALSE
2021-05-17T11:43:58Z,ASKghkenksjKDNG_117,32.5,,,,1.8,2.17,pasfhgahsdfuioapo;wfjbgakkjf,pwietuhiawfgbal.slkerq[wa,Nicholas W,4917660932238,Luckauer Str. 42456,Berlin,Germany,FALSE
2021-05-03T10:32:29Z,AKEJHGirhj;jlml;LJHKnh_540,18.9,SPEED20,CASHBACK,7,1.799999952,1.30422407,pasfhgahsdfuioapo;wfjbgakkjf,pwietuhiawfgbal.slkerq[wa,Nicholas W,4917660932238,Luckauer Str. 42456,Berlin,Germany,FALSE
2021-11-19T22:42:39Z,AKSghbjnsk;aljeg_097,49.5,RIDER20,DISCOUNT,8,1.8,3.26,wrsghehfweghsjdgksehfhueaef,ietgilJFHGWAWLRIBVAEH,James A,4915158773865,Kronprinzenstraße 200,Düsseldorf,Germany,FALSE
